iter	Passed	Remaining
313	590	1289
314	592	1287
315	593	1285
316	595	1283
317	597	1281
318	599	1279
319	601	1277
320	602	1275
321	604	1273
322	606	1271
323	608	1269
324	610	1267
325	612	1265
326	613	1263
327	615	1261
328	617	1259
329	619	1257
330	621	1255
331	623	1253
332	624	1251
333	626	1249
334	628	1247
335	630	1245
336	632	1244
337	634	1242
338	636	1240
339	637	1238
340	639	1235
341	641	1234
342	643	1232
343	645	1230
344	647	1228
345	648	1226
346	650	1224
347	652	1222
348	654	1220
349	656	1218
350	657	1216
351	659	1214
352	661	1212
353	663	1209
354	664	1207
355	666	1206
356	668	1203
357	670	1201
358	671	1199
359	673	1197
360	675	1195
361	678	1194
362	679	1193
363	681	1191
364	684	1190
365	686	1188
366	687	1186
367	689	1184
368	691	1182
369	693	1180
370	695	1178
371	697	1176
372	698	1174
373	700	1172
374	702	1170
375	704	1168
376	706	1166
377	707	1164
378	709	1162
379	711	1160
380	713	1158
381	714	1156
382	716	1154
383	718	1152
384	720	1150
385	722	1148
386	724	1147
387	726	1145
388	728	1144
389	730	1142
390	732	1140
391	734	1139
392	736	1137
393	738	1135
394	739	1133
395	741	1131
396	743	1129
397	745	1127
398	747	1125
399	749	1123
400	751	1122
401	753	1120
402	755	1118
403	757	1116
404	758	1114
405	760	1112
406	762	1110
407	764	1109
408	766	1107
409	767	1105
410	769	1103
411	771	1101
412	773	1099
413	775	1097
414	777	1095
415	779	1093
416	781	1092
417	783	1090
418	784	1088
419	786	1086
420	788	1084
421	790	1082
422	792	1081
423	794	1079
424	796	1077
425	798	1075
426	799	1073
427	801	1071
428	803	1069
429	805	1067
430	807	1065
431	808	1063
432	810	1061
433	812	1059
434	814	1057
435	816	1055
436	817	1053
437	819	1051
438	821	1049
439	823	1047
440	825	1046
441	827	1044
442	829	1042
443	830	1040
444	832	1038
445	834	1036
446	836	1034
447	838	1032
448	840	1031
449	842	1029
450	843	1027
451	845	1025
452	847	1023
453	849	1021
454	851	1019
455	852	1017
456	854	1015
457	856	1013
458	858	1012
459	860	1009
460	862	1007
461	863	1005
462	865	1003
463	867	1002
464	869	1000
465	871	998
466	873	996
467	875	995
468	877	993
469	880	992
470	881	990
471	883	988
472	885	986
473	887	984
474	889	982
475	891	981
476	893	979
477	894	977
478	896	975
479	898	973
480	900	971
481	902	969
482	903	967
483	905	965
484	907	963
485	909	961
486	911	960
487	913	958
488	915	956
489	916	954
490	918	952
491	920	950
492	922	948
493	924	946
494	926	944
495	928	943
496	930	941
497	932	939
498	934	937
499	936	936
500	938	934
501	940	932
502	942	931
503	944	929
504	946	927
505	948	925
506	950	923
507	951	921
508	953	920
509	955	918
510	957	916
511	959	914
512	960	912
513	962	910
514	964	908
515	966	906
516	968	904
517	970	902
518	972	900
519	973	898
520	975	896
521	977	895
522	979	893
523	980	891
524	983	889
525	984	887
526	986	885
527	988	883
528	990	881
529	992	879
530	994	877
531	996	876
532	998	875
533	1000	873
534	1002	871
535	1004	869
536	1006	867
537	1007	865
538	1009	863
539	1011	862
540	1013	860
541	1015	858
542	1017	856
543	1019	854
544	1020	852
545	1022	850
546	1024	848
547	1026	846
548	1028	844
549	1030	843
550	1032	841
551	1034	839
552	1035	837
553	1037	835
554	1039	833
555	1041	831
556	1043	829
557	1044	827
558	1046	825
559	1048	823
560	1050	822
561	1052	820
562	1054	818
563	1056	816
564	1058	814
565	1059	812
566	1061	810
567	1063	808
568	1065	807
569	1067	805
570	1069	803
571	1070	801
572	1072	799
573	1074	797
574	1076	795
575	1078	793
576	1079	791
577	1081	789
578	1083	787
579	1085	786
580	1087	784
581	1089	782
582	1090	780
583	1092	778
584	1094	776
585	1096	774
586	1097	772
587	1100	771
588	1102	769
589	1104	767
590	1105	765
591	1107	763
592	1109	761
593	1111	759
594	1113	757
595	1114	755
596	1116	753
597	1118	751
598	1120	749
599	1122	748
600	1124	746
601	1125	744
602	1127	742
603	1129	740
604	1131	738
605	1133	737
606	1135	735
607	1137	733
608	1139	731
609	1141	729
610	1142	727
611	1144	725
612	1146	723
613	1148	721
614	1150	719
615	1151	718
616	1153	716
617	1155	714
618	1157	712
619	1159	710
620	1161	709
621	1163	707
622	1165	705
623	1167	703
624	1169	701
625	1171	699
626	1173	697
627	1175	696
628	1177	694
629	1179	692
630	1180	690
631	1182	688
632	1184	686
633	1186	684
634	1188	683
635	1190	681
636	1192	679
637	1194	677
638	1196	675
639	1197	673
640	1199	671
641	1201	669
642	1203	668
643	1205	666
644	1207	664
645	1209	662
646	1210	660
647	1212	658
648	1214	656
649	1216	654
650	1218	653
651	1220	651
652	1221	649
653	1223	647
654	1225	645
655	1227	643
656	1229	641
657	1230	639
658	1232	637
659	1234	636
660	1236	634
661	1238	632
662	1240	630
663	1242	628
664	1244	626
665	1245	624
666	1247	622
667	1249	621
668	1251	619
669	1253	617
670	1255	615
671	1257	613
672	1259	611
673	1261	609
674	1262	608
675	1264	606
676	1266	604
677	1268	602
678	1270	600
679	1272	598
680	1274	596
681	1276	595
682	1278	593
683	1280	591
684	1281	589
685	1283	587
686	1285	585
687	1287	583
688	1289	581
689	1290	579
690	1292	578
691	1294	576
692	1296	574
693	1298	572
694	1300	570
695	1301	568
696	1304	566
697	1306	565
698	1307	563
699	1309	561
700	1311	559
701	1313	557
702	1315	555
703	1317	553
704	1319	552
705	1321	550
706	1323	548
707	1325	546
708	1326	544
709	1328	542
710	1330	540
711	1332	539
712	1334	537
713	1336	535
714	1338	533
715	1340	531
716	1342	529
717	1344	527
718	1345	526
719	1347	524
720	1349	522
721	1351	520
722	1353	518
723	1355	516
724	1357	514
725	1359	513
726	1361	511
727	1363	509
728	1364	507
729	1366	505
730	1368	503
731	1370	501
732	1372	499
733	1374	498
734	1376	496
735	1378	494
736	1380	492
737	1381	490
738	1383	488
739	1385	486
740	1387	484
741	1389	482
742	1391	481
743	1392	479
744	1394	477
745	1396	475
746	1398	473
747	1400	471
748	1402	469
749	1404	468
750	1406	466
751	1408	464
752	1410	462
753	1412	460
754	1414	458
755	1415	456
756	1417	455
757	1419	453
758	1421	451
759	1423	449
760	1425	447
761	1426	445
762	1428	443
763	1430	441
764	1432	440
765	1434	438
766	1436	436
767	1438	434
768	1440	432
769	1441	430
770	1443	428
771	1445	426
772	1447	425
773	1449	423
774	1451	421
775	1452	419
776	1454	417
777	1456	415
778	1458	413
779	1460	411
780	1462	410
781	1464	408
782	1465	406
783	1467	404
784	1469	402
785	1471	400
786	1473	398
787	1475	396
788	1477	395
789	1478	393
790	1480	391
791	1482	389
792	1484	387
793	1486	385
794	1488	383
795	1490	381
796	1491	379
797	1493	378
798	1495	376
799	1497	374
800	1499	372
801	1501	370
802	1502	368
803	1504	366
804	1506	364
805	1508	363
806	1510	361
807	1511	359
808	1513	357
809	1515	355
810	1517	353
811	1519	351
812	1521	349
813	1523	348
814	1524	346
815	1526	344
816	1528	342
817	1530	340
818	1532	338
819	1534	336
820	1535	334
821	1537	332
822	1539	331
823	1542	329
824	1543	327
825	1545	325
826	1547	323
827	1549	321
828	1551	320
829	1553	318
830	1554	316
831	1556	314
832	1558	312
833	1560	310
834	1561	308
835	1563	306
836	1565	304
837	1567	302
838	1569	301
839	1570	299
840	1572	297
841	1575	295
842	1577	293
843	1579	291
844	1581	290
845	1583	288
846	1584	286
847	1586	284
848	1588	282
849	1590	280
850	1592	278
851	1594	276
852	1595	275
853	1597	273
854	1599	271
855	1602	269
856	1603	267
857	1605	265
858	1607	263
859	1609	261
860	1611	260
861	1613	258
862	1615	256
863	1617	254
864	1619	252
865	1621	250
866	1622	248
867	1624	247
868	1626	245
869	1628	243
870	1630	241
871	1632	239
872	1634	237
873	1635	235
874	1637	233
875	1639	232
876	1641	230
877	1643	228
878	1645	226
879	1647	224
880	1649	222
881	1650	220
882	1652	218
883	1654	217
884	1656	215
885	1657	213
886	1659	211
887	1661	209
888	1663	207
889	1665	205
890	1666	203
891	1668	202
892	1670	200
893	1672	198
894	1674	196
895	1675	194
896	1677	192
897	1679	190
898	1681	188
899	1683	187
900	1685	185
901	1687	183
902	1689	181
903	1690	179
904	1692	177
905	1694	175
906	1696	173
907	1698	172
908	1699	170
909	1701	168
910	1703	166
911	1705	164
912	1707	162
913	1709	160
914	1711	158
915	1713	157
916	1715	155
917	1716	153
918	1718	151
919	1720	149
920	1722	147
921	1724	145
922	1726	144
923	1727	142
924	1729	140
925	1731	138
926	1733	136
927	1735	134
928	1737	132
929	1739	130
930	1741	129
931	1742	127
932	1744	125
933	1746	123
934	1748	121
935	1750	119
936	1752	117
937	1754	115
938	1756	114
939	1757	112
940	1759	110
941	1761	108
942	1763	106
943	1765	104
944	1767	102
945	1769	100
946	1770	99
947	1773	97
948	1774	95
949	1776	93
950	1778	91
951	1780	89
952	1782	87
953	1784	86
954	1786	84
955	1787	82
956	1789	80
957	1791	78
958	1793	76
959	1795	74
960	1797	72
961	1798	71
962	1800	69
963	1802	67
964	1804	65
965	1806	63
966	1808	61
967	1810	59
968	1811	57
969	1813	56
970	1815	54
971	1817	52
972	1819	50
973	1821	48
974	1823	46
975	1824	44
976	1826	43
977	1828	41
978	1830	39
979	1832	37
980	1834	35
981	1836	33
982	1837	31
983	1839	29
984	1842	28
985	1844	26
986	1845	24
987	1847	22
988	1850	20
989	1851	18
990	1853	16
991	1855	14
992	1857	13
993	1859	11
994	1861	9
995	1863	7
996	1865	5
997	1867	3
998	1868	1
999	1870	0
