iter	Logloss
0	0.6750661147
1	0.6579634922
2	0.6450005102
3	0.6323207191
4	0.6195250054
5	0.6081614726
6	0.5958603443
7	0.5875443019
8	0.573556462
9	0.5639715233
10	0.5493349209
11	0.5368904586
12	0.5297869955
13	0.5179341896
14	0.5093318657
15	0.5007190554
16	0.4920806155
17	0.4831491848
18	0.4750498796
19	0.4692514868
20	0.4627038581
21	0.4559012798
22	0.4484315531
23	0.4426634431
24	0.4361051357
25	0.4325675114
26	0.426320721
27	0.4216290719
28	0.4154294011
29	0.4084447816
30	0.4040246738
31	0.3991466395
32	0.3926388974
33	0.3890781838
34	0.3835285655
35	0.3789519393
36	0.3761621399
37	0.3733798631
38	0.3699529353
39	0.3647716835
40	0.3610384628
41	0.3574476987
42	0.3552672745
43	0.3525468094
44	0.3497697246
45	0.348296722
46	0.345619339
47	0.3422240416
48	0.3395445216
49	0.3374647045
50	0.3352627547
51	0.3331404673
52	0.3293229784
53	0.3246352306
54	0.3223379058
55	0.3201892093
56	0.3164082988
57	0.3136085649
58	0.3115009497
59	0.3102552428
60	0.3075412634
61	0.3056913379
62	0.3034418825
63	0.3021718803
64	0.2996429604
65	0.2965980719
66	0.294435183
67	0.2937063433
68	0.2915549917
69	0.2891110256
70	0.2871547553
71	0.2851849153
72	0.283473505
73	0.2808397245
74	0.2792713886
75	0.2775460692
76	0.2756152137
77	0.2746065806
78	0.2731400289
79	0.2716386803
80	0.2706734937
81	0.2683963124
82	0.2667962992
83	0.2657380283
84	0.2637211176
85	0.2614169059
86	0.259695627
87	0.2587996918
88	0.2575805356
89	0.2557622981
90	0.2548287511
91	0.2533032972
92	0.251373801
93	0.2492738272
94	0.2480712246
95	0.2461923846
96	0.2452035336
97	0.2436245397
98	0.2427430561
99	0.2413085065
100	0.239713687
101	0.2380859978
102	0.2365193703
103	0.2357903349
104	0.2345604799
105	0.2333116687
106	0.2319708495
107	0.2301292094
108	0.2291383367
109	0.2278144305
110	0.2265436469
111	0.225969834
112	0.2250858312
113	0.2240464129
114	0.222819714
115	0.2215292069
116	0.2207426127
117	0.2196125635
118	0.2185813192
119	0.2175442536
120	0.2167959874
121	0.2161204018
122	0.2153317758
123	0.2142343574
124	0.2129184967
125	0.2121623725
126	0.2114197913
127	0.2104419747
128	0.209599203
129	0.2087195006
130	0.2081604332
131	0.2071060253
132	0.2066463305
133	0.2057506168
134	0.2044435602
135	0.203491471
136	0.2027776526
137	0.2018829751
138	0.2007059053
139	0.2001896693
140	0.1996437194
141	0.1986395196
142	0.1981093543
143	0.1969704831
144	0.19641071
145	0.1957173647
146	0.194889664
147	0.1941519216
148	0.1934909583
149	0.1924337188
150	0.1917774341
151	0.191038875
152	0.1900433464
153	0.1890175614
154	0.1884378098
155	0.1880160257
156	0.1875950374
157	0.1872472467
158	0.186296525
159	0.1855279362
160	0.1848244337
161	0.18392629
162	0.1836151424
163	0.1833056575
164	0.1825625315
165	0.1818108582
166	0.1814428492
167	0.1809322053
168	0.1801293354
169	0.1795548833
170	0.1790273065
171	0.1785128211
172	0.1781000992
173	0.1776784133
174	0.1773007776
175	0.1768811334
176	0.1764509522
177	0.1757253723
178	0.1752039926
179	0.1745327665
180	0.1738610986
181	0.1732860683
182	0.1726188921
183	0.1722209671
184	0.1717078873
185	0.1711153365
186	0.1707243427
187	0.1701967975
188	0.1699930997
189	0.1695318571
190	0.1691394273
191	0.1683971443
192	0.1676861625
193	0.1669837255
194	0.1664926625
195	0.1658597065
196	0.1655709852
197	0.1652598121
198	0.1646065711
199	0.1639733404
200	0.163241051
201	0.1627008415
202	0.1622925363
203	0.1616692004
204	0.1612671738
205	0.1607840607
206	0.1604240844
207	0.1598678941
208	0.1592483518
209	0.1588710868
210	0.1586310727
211	0.158136636
212	0.1576703226
213	0.1570679849
214	0.1567892136
215	0.1561442599
216	0.1558058619
217	0.1554563506
218	0.1550897929
219	0.1546246385
220	0.1541838395
221	0.1537825562
222	0.1533897264
223	0.1530597168
224	0.1527722045
225	0.1522844428
226	0.1519285855
227	0.1516320605
228	0.1512079874
229	0.1508315087
230	0.1505371142
231	0.1503046531
232	0.149683575
233	0.1490869856
234	0.1487985823
235	0.1485221925
236	0.1480695355
237	0.1476276523
238	0.1472237884
239	0.1471004627
240	0.1469449403
241	0.1466053783
242	0.1463938184
243	0.1461189642
244	0.1458526082
245	0.1455963924
246	0.1453066389
247	0.144949832
248	0.144611051
249	0.1441905027
250	0.1439658358
251	0.1437538803
252	0.1434666032
253	0.1431873829
254	0.1427288557
255	0.1423271639
256	0.1420166124
257	0.1415532323
258	0.1411980935
259	0.1410254481
260	0.1407862775
261	0.1404426128
262	0.1401872747
263	0.1398668638
264	0.1396929827
265	0.1394094405
266	0.1392273707
267	0.1389255198
268	0.1384547913
269	0.1380704394
270	0.1378352162
271	0.1375744528
272	0.1373267017
273	0.1370499755
274	0.136667004
275	0.1363592743
276	0.1359795471
277	0.1357293778
278	0.1353565169
279	0.1350720967
280	0.1348601831
281	0.1346514685
282	0.1344702756
283	0.1341593482
284	0.1338760642
285	0.1336829308
286	0.1333743635
287	0.1330765934
288	0.1326900807
289	0.1324017435
290	0.1322081543
291	0.1319805024
292	0.1317513792
293	0.1315904097
294	0.1314243624
295	0.1312390768
296	0.1309095121
297	0.1306168586
298	0.1303846167
299	0.130146638
300	0.129728262
301	0.1294607369
302	0.1292871299
303	0.1290392728
304	0.1287215697
305	0.12856414
306	0.1282792806
307	0.1280703573
308	0.127889997
309	0.1276736342
310	0.1274404145
311	0.1271899257
312	0.1270174662
313	0.1268633448
314	0.1265839397
315	0.1263583037
316	0.1260801402
317	0.125855822
318	0.1254666452
319	0.1253484982
320	0.1251626333
321	0.1249508841
322	0.1247316809
323	0.1245432747
324	0.1242977687
325	0.1240106236
326	0.1237965484
327	0.1234708878
328	0.1231888619
329	0.1230053732
330	0.1228190217
331	0.1226582813
332	0.1223756616
333	0.1222426074
334	0.1218946556
335	0.1216382045
336	0.1214172244
337	0.1212873711
338	0.1211006045
339	0.1208327766
340	0.1206463492
341	0.1204272992
342	0.1201420529
343	0.1199019705
344	0.1197823475
345	0.1196101388
346	0.1194173992
347	0.1190981142
348	0.1189174425
349	0.1186757352
350	0.1185195592
351	0.1183259822
352	0.1180862789
353	0.1179193894
354	0.1177525403
355	0.1175896568
356	0.1173036622
357	0.1171178487
358	0.1167450643
359	0.1164291486
360	0.1161014728
361	0.115887613
362	0.1157752902
363	0.1156445904
364	0.115554739
365	0.1153271773
366	0.1151310542
367	0.1148839396
368	0.1146793103
369	0.1145842824
370	0.1144447171
371	0.1143194429
372	0.1142086843
373	0.1140354818
374	0.1138886958
375	0.1136396792
376	0.113419317
377	0.113215391
378	0.1130233529
379	0.1128438742
380	0.1126952187
381	0.1125141487
382	0.1123069147
383	0.1121724488
384	0.1119842373
385	0.1118194981
386	0.1115958042
387	0.1114586529
388	0.1111448725
389	0.1109353949
390	0.1106137785
391	0.1104453263
392	0.1102922548
393	0.1101562911
394	0.1099306117
395	0.109712006
396	0.1096007857
397	0.1094094801
398	0.10926551
399	0.1091795856
400	0.1090485395
401	0.1087266412
402	0.1086427569
403	0.1084443544
404	0.1082354977
405	0.1080411623
406	0.1078943143
407	0.107635282
408	0.1072954004
409	0.1071967856
410	0.1068391204
411	0.1066819944
412	0.1064797631
413	0.1063584963
414	0.1061664984
415	0.1059311794
416	0.1058176746
417	0.1057105144
418	0.1055740714
419	0.1054520898
420	0.105265791
421	0.1051112309
422	0.1049782029
423	0.1048884311
424	0.1047643764
425	0.1046484089
426	0.1045573703
427	0.1043352322
428	0.1041583451
429	0.1040214715
430	0.1038009447
431	0.1036452324
432	0.1035057547
433	0.1033649599
434	0.1032242147
435	0.103005523
436	0.1028283332
437	0.1025559067
438	0.1024336316
439	0.1023418896
440	0.1020478193
441	0.1019566236
442	0.1018811762
443	0.1015877122
444	0.1014795838
445	0.1013480751
446	0.1012140365
447	0.101061561
448	0.1008567997
449	0.1007601672
450	0.1005462503
451	0.1003843559
452	0.1002919172
453	0.1001473402
454	0.09990861325
455	0.09980338874
456	0.09963675488
457	0.09949563418
458	0.09926237425
459	0.09896910799
460	0.09878070775
461	0.09855273114
462	0.09841693082
463	0.09814366014
464	0.09802515637
465	0.09785331543
466	0.09766732104
467	0.097539186
468	0.09736173857
469	0.0971472282
470	0.09695520592
471	0.09675387778
472	0.09662070299
473	0.09646027007
474	0.09633791143
475	0.09617771202
476	0.09602913582
477	0.09589692477
478	0.09568822418
479	0.09557017107
480	0.09545205084
481	0.09533728335
482	0.09524690544
483	0.09512868202
484	0.09498435953
485	0.0948666706
486	0.09472556074
487	0.09451774391
488	0.09431014128
489	0.09418249166
490	0.09402118853
491	0.09388617281
492	0.09374737008
493	0.09362811343
494	0.09346126982
495	0.09333675784
496	0.09316245039
497	0.09305869909
498	0.09298217668
499	0.09285747504
500	0.09273062407
501	0.09261508226
502	0.09252371142
503	0.09240482379
504	0.0922286617
505	0.09212258573
506	0.09202148111
507	0.09187365621
508	0.09171684037
509	0.09157032928
510	0.09141228854
511	0.09127761001
512	0.09117443505
513	0.09108162587
514	0.09093631
515	0.09079089267
516	0.09070497545
517	0.09059803842
518	0.09043099651
519	0.09023277472
520	0.09009839378
521	0.08993624498
522	0.08985557081
523	0.08970740938
524	0.08956606108
525	0.08948480402
526	0.08936619049
